it_companies_stock.symbol	it_companies_stock.series	it_companies_stock.open	it_companies_stock.high	it_companies_stock.low	it_companies_stock.close	it_companies_stock.last	it_companies_stock.prevclose	it_companies_stock.tottrdqty	it_companies_stock.tottrval	it_companies_stock.mydate	it_companies_stock.totaltrades	it_companies_stock.isin
TCS	EQ	2564.2	2591.25	2552.0	2570.2	2570.0	2551.15	878349	2.2598578568E9	2016-05-17	75704	INE467B01029
TECHM	EQ	489.0	493.9	481.8	483.8	482.5	486.95	868879	4.227498146E8	2016-05-17	20609	INE669C01036
WIPRO	EQ	542.0	542.4	538.05	540.15	540.8	540.8	1276727	6.904868262E8	2016-05-17	25056	INE075A01022
HCLTECH	EQ	750.0	756.3	740.1	742.2	742.5	750.3	2510583	1.87086604155E9	2016-05-02	70294	INE860A01027
INFY	EQ	1210.0	1211.15	1196.15	1201.05	1199.55	1208.1	1807625	2.17088525055E9	2016-05-02	50153	INE009A01021
TATAELXSI	EQ	1895.0	1920.95	1878.5	1905.0	1904.0	1909.4	356289	6.7892823855E8	2016-05-02	18297	INE670A01012
TCS	EQ	2529.0	2530.0	2500.0	2526.7	2525.1	2535.5	558346	1.4049469844E9	2016-05-02	33410	INE467B01029
TECHM	EQ	485.0	485.0	475.6	477.2	477.45	486.15	1076011	5.1419636615E8	2016-05-02	21987	INE669C01036
WIPRO	EQ	551.0	552.95	545.3	548.5	548.05	554.35	993077	5.445333124E8	2016-05-02	18517	INE075A01022
HCLTECH	EQ	841.25	850.0	841.25	845.1	847.35	845.15	831430	7.0375697445E8	2016-04-25	20568	INE860A01027
INFY	EQ	1212.05	1224.8	1201.1	1215.85	1219.25	1211.25	2682067	3.24911270755E9	2016-04-25	91828	INE009A01021
TCS	EQ	2402.3	2457.05	2402.3	2451.25	2453.0	2417.05	1133827	2.76838861585E9	2016-04-25	56820	INE467B01029
TECHM	EQ	481.8	484.7	469.1	472.0	471.95	479.9	784214	3.722871159E8	2016-04-25	22994	INE669C01036
WIPRO	EQ	558.1	561.75	551.1	552.45	552.65	557.95	1715874	9.524166102E8	2016-04-25	40017	INE075A01022
DATAMATICS	EQ	73.75	78.4	73.6	75.6	75.35	73.4	381614	2.894484225E7	2016-08-12	2379	INE365B01017
HCLTECH	EQ	826.05	835.5	807.0	814.2	813.65	824.55	1651570	1.3611622129E9	2016-08-12	46670	INE860A01027
INFY	EQ	1075.05	1078.8	1060.0	1062.55	1061.6	1077.35	3724964	3.98391135455E9	2016-08-12	116371	INE009A01021
TCS	EQ	2705.0	2744.8	2702.05	2738.45	2740.0	2709.9	1163679	3.18017625545E9	2016-08-12	85247	INE467B01029
TECHM	EQ	504.0	504.0	488.4	493.35	489.1	500.1	3618973	1.80053002895E9	2016-08-12	37392	INE669C01036
WIPRO	EQ	540.5	549.5	540.5	543.75	542.2	543.0	780651	4.2531055985E8	2016-08-12	23679	INE075A01022
DATAMATICS	EQ	119.0	131.8	119.0	129.8	128.6	112.95	10447638	1.3053234561E9	2016-12-21	85512	INE365B01017
HCLTECH	EQ	835.0	836.8	816.3	820.8	819.0	830.15	1031894	8.531953077E8	2016-12-21	53689	INE860A01027
INFY	EQ	1016.0	1022.0	998.25	1001.55	1002.5	1012.15	3671988	3.7154064284E9	2016-12-21	85526	INE009A01021
TCS	EQ	2343.8	2343.8	2305.6	2313.6	2312.0	2339.3	1017451	2.3589591659E9	2016-12-21	85491	INE467B01029
TECHM	EQ	478.0	479.6	472.5	474.45	474.0	476.75	667563	3.179539939E8	2016-12-21	18148	INE669C01036
WIPRO	EQ	468.5	470.5	461.2	462.45	462.5	466.65	1028742	4.789000951E8	2016-12-21	44005	INE075A01022
HCLTECH	EQ	765.0	772.65	753.0	767.8	767.15	763.45	2093744	1.60142400265E9	2016-11-24	76798	INE860A01027
INFY	EQ	928.2	939.9	923.3	930.3	930.0	920.25	8390322	7.81731431355E9	2016-11-24	131479	INE009A01021
MINDTREE	EQ	450.5	466.0	450.05	462.85	463.3	453.5	472798	2.1785323565E8	2016-11-24	9083	INE018I01017
TATAELXSI	EQ	1087.0	1197.0	1075.05	1158.0	1132.95	1088.25	1032286	1.1704527803E9	2016-11-24	37334	INE670A01012
TCS	EQ	2154.9	2207.6	2137.0	2188.45	2205.0	2156.35	1513117	3.30677410805E9	2016-11-24	47769	INE467B01029
TECHM	EQ	450.7	464.5	450.1	458.65	460.25	453.1	2574455	1.1835056792E9	2016-11-24	48638	INE669C01036
WIPRO	EQ	448.45	454.9	446.6	450.75	451.5	448.9	1382663	6.2409417655E8	2016-11-24	35311	INE075A01022
HCLTECH	EQ	743.95	746.7	723.3	741.85	742.0	769.8	3081689	2.27102764025E9	2016-06-24	120409	INE860A01027
INFY	EQ	1188.0	1199.0	1160.0	1194.55	1191.2	1211.6	3904174	4.63432265605E9	2016-06-24	80878	INE009A01021
MINDTREE	EQ	646.0	667.75	625.0	659.9	659.85	659.95	321982	2.085903524E8	2016-06-24	12739	INE018I01017
TATAELXSI	EQ	1740.0	1740.0	1611.45	1711.25	1710.9	1775.55	363005	6.137292324E8	2016-06-24	17979	INE670A01012
TCS	EQ	2565.15	2593.2	2514.15	2573.95	2568.0	2645.35	1883293	4.81963129395E9	2016-06-24	62715	INE467B01029
TECHM	EQ	513.0	516.95	493.55	507.05	508.0	531.35	3567473	1.7956265186E9	2016-06-24	47384	INE669C01036
WIPRO	EQ	553.25	557.75	547.3	555.15	555.8	563.7	1351887	7.478686643E8	2016-06-24	20927	INE075A01022
HCLTECH	EQ	717.75	731.7	717.75	730.15	731.0	722.5	1734756	1.26284109025E9	2016-07-19	45442	INE860A01027
INFY	EQ	1088.6	1090.0	1074.1	1086.95	1088.0	1081.95	5202322	5.63280159895E9	2016-07-19	178219	INE009A01021
MINDTREE	EQ	581.0	587.2	559.0	561.55	561.0	614.2	5025113	2.87685941085E9	2016-07-19	102729	INE018I01017
TATAELXSI	EQ	1640.05	1683.1	1640.05	1663.85	1662.9	1651.25	326877	5.4575323445E8	2016-07-19	13937	INE670A01012
TCS	EQ	2427.5	2472.8	2427.5	2466.2	2466.0	2433.45	1181448	2.8973731906E9	2016-07-19	77753	INE467B01029
TECHM	EQ	506.8	511.9	504.05	507.6	508.0	506.6	1013525	5.1373576665E8	2016-07-19	31463	INE669C01036
WIPRO	EQ	545.0	553.75	544.0	549.25	548.5	551.95	2789566	1.53287708425E9	2016-07-19	35436	INE075A01022
HCLTECH	EQ	829.6	839.0	809.0	811.05	811.55	828.95	861124	7.0408031065E8	2016-02-24	60635	INE860A01027
INFY	EQ	1119.5	1143.75	1118.35	1125.35	1125.0	1123.9	2475357	2.80293716025E9	2016-02-24	92342	INE009A01021
NIITTECH	EQ	453.0	497.0	449.05	462.9	460.0	453.8	877644	4.2227201035E8	2016-02-24	28203	INE591G01017
TATAELXSI	EQ	1860.0	1903.4	1773.6	1784.75	1781.25	1884.05	730997	1.34764693885E9	2016-02-24	38303	INE670A01012
TCS	EQ	2262.45	2262.45	2201.2	2210.95	2216.0	2264.0	829664	1.85045161505E9	2016-02-24	38290	INE467B01029
TECHM	EQ	425.0	428.0	418.35	422.05	422.0	428.6	822293	3.4821193655E8	2016-02-24	20158	INE669C01036
WIPRO	EQ	540.1	542.25	530.5	533.95	532.55	539.95	972998	5.2052904555E8	2016-02-24	23723	INE075A01022
HCLTECH	EQ	747.0	747.55	726.05	728.4	728.1	742.2	3499904	2.5760347014E9	2016-05-03	103238	INE860A01027
INFY	EQ	1202.75	1212.2	1171.8	1177.8	1177.95	1201.05	3412405	4.06114957225E9	2016-05-03	132901	INE009A01021
TATAELXSI	EQ	1910.8	1933.0	1878.35	1884.85	1879.4	1905.0	382356	7.2808124385E8	2016-05-03	19306	INE670A01012
TCS	EQ	2525.0	2530.0	2472.0	2478.1	2473.9	2526.7	1076559	2.6872837718E9	2016-05-03	46517	INE467B01029
TECHM	EQ	477.2	483.4	465.0	467.2	465.7	477.2	1721645	8.161122287E8	2016-05-03	36852	INE669C01036
WIPRO	EQ	549.0	549.75	539.05	543.85	543.1	548.5	1726951	9.4093078965E8	2016-05-03	31664	INE075A01022
HCLTECH	EQ	725.55	725.6	716.15	718.95	718.0	723.15	1616514	1.16616233675E9	2016-05-16	44239	INE860A01027
INFY	EQ	1210.2	1223.65	1205.0	1215.0	1212.8	1207.25	2266939	2.7536236141E9	2016-05-16	77520	INE009A01021
MINDTREE	EQ	651.25	655.7	642.4	645.3	647.65	652.9	309699	2.002095063E8	2016-05-16	9162	INE018I01017
TCS	EQ	2538.0	2564.8	2522.5	2551.15	2552.75	2523.4	555763	1.4135233843E9	2016-05-16	38211	INE467B01029
TECHM	EQ	479.0	494.9	477.85	486.95	487.9	479.8	1732776	8.4668937545E8	2016-05-16	43493	INE669C01036
WIPRO	EQ	540.7	543.5	536.2	540.8	541.9	539.65	1167312	6.302318939E8	2016-05-16	27552	INE075A01022
HCLTECH	EQ	838.0	840.9	830.2	836.0	839.0	838.7	1100759	9.190465471E8	2016-01-27	40394	INE860A01027
INFY	EQ	1146.45	1149.6	1135.0	1138.5	1135.35	1137.65	3485981	3.9790417083E9	2016-01-27	79129	INE009A01021
NIITTECH	EQ	511.9	536.0	500.0	530.85	532.0	511.55	405587	2.1308795215E8	2016-01-27	18475	INE591G01017
TATAELXSI	EQ	1847.0	1977.0	1840.0	1954.2	1957.0	1826.75	888560	1.69943337905E9	2016-01-27	39322	INE670A01012
TCS	EQ	2302.0	2329.95	2281.9	2319.75	2317.0	2304.65	813493	1.8846488915E9	2016-01-27	37894	INE467B01029
TECHM	EQ	514.0	515.6	501.0	503.05	505.25	514.55	2171390	1.0998484919E9	2016-01-27	47947	INE669C01036
WIPRO	EQ	550.0	554.95	543.55	552.55	554.75	547.05	2092598	1.1534532499E9	2016-01-27	49777	INE075A01022
HCLTECH	EQ	815.0	824.5	809.9	814.1	813.4	820.6	4586967	3.74197214405E9	2016-03-31	90692	INE860A01027
INFY	EQ	1210.25	1229.9	1200.3	1218.3	1220.0	1205.95	8998160	1.09355177161E10	2016-03-31	207681	INE009A01021
MINDTREE	EQ	666.35	666.35	641.0	653.25	651.0	663.05	1017313	6.63723672E8	2016-03-31	32737	INE018I01017
TATAELXSI	EQ	1877.0	1912.7	1862.0	1883.85	1888.0	1885.45	522753	9.888220346E8	2016-03-31	19713	INE670A01012
TCS	EQ	2478.3	2550.0	2472.15	2520.3	2530.0	2489.5	2181982	5.4777528158E9	2016-03-31	76600	INE467B01029
TECHM	EQ	475.0	483.0	473.2	474.95	475.2	472.85	4630177	2.2066018987E9	2016-03-31	85595	INE669C01036
WIPRO	EQ	561.85	570.0	557.2	564.25	567.05	561.95	3875911	2.1844940076E9	2016-03-31	55047	INE075A01022
HCLTECH	EQ	772.0	792.1	770.0	782.7	780.2	780.55	2385247	1.86814486185E9	2016-09-12	95988	INE860A01027
INFY	EQ	1025.25	1058.0	1025.25	1054.0	1055.0	1035.5	3101548	3.26547060655E9	2016-09-12	104493	INE009A01021
MINDTREE	EQ	513.0	526.0	511.0	516.5	517.0	522.8	492866	2.566767675E8	2016-09-12	11942	INE018I01017
NIITTECH	EQ	399.05	408.8	393.0	405.0	405.5	403.1	604245	2.447923217E8	2016-09-12	13563	INE591G01017
TCS	EQ	2337.0	2363.95	2324.0	2359.05	2358.0	2352.45	1012227	2.3837802545E9	2016-09-12	64982	INE467B01029
TECHM	EQ	454.0	466.4	453.0	463.85	464.1	458.3	1746181	8.0972202265E8	2016-09-12	61132	INE669C01036
WIPRO	EQ	474.8	483.4	472.15	480.4	482.0	480.65	1887831	9.08555407E8	2016-09-12	42149	INE075A01022
HCLTECH	EQ	791.9	807.0	783.0	787.1	784.5	785.6	1789682	1.42344726955E9	2016-09-07	53502	INE860A01027
INFY	EQ	1048.0	1059.0	1044.0	1054.35	1049.85	1045.0	3712735	3.909393157E9	2016-09-07	103327	INE009A01021
MINDTREE	EQ	525.0	529.1	515.5	518.9	519.2	525.0	801807	4.1784229875E8	2016-09-07	18875	INE018I01017
TCS	EQ	2499.7	2499.7	2423.0	2440.55	2452.1	2484.05	1927020	4.7477591315E9	2016-09-07	69195	INE467B01029
TECHM	EQ	481.2	483.5	470.15	471.85	471.0	480.05	1254946	5.9801968425E8	2016-09-07	39818	INE669C01036
WIPRO	EQ	487.8	489.75	480.05	481.75	481.35	482.9	2147450	1.04200867145E9	2016-09-07	66314	INE075A01022
HCLTECH	EQ	722.0	726.6	715.05	716.8	718.25	721.85	2124375	1.52752937675E9	2016-07-11	54886	INE860A01027
INFY	EQ	1167.4	1178.7	1160.0	1175.05	1173.75	1158.2	3334441	3.900242644E9	2016-07-11	97975	INE009A01021
TCS	EQ	2430.0	2471.8	2427.0	2464.15	2469.0	2426.6	771816	1.8949401808E9	2016-07-11	55531	INE467B01029
TECHM	EQ	505.95	512.4	504.45	508.4	508.7	502.95	729356	3.7052987715E8	2016-07-11	16493	INE669C01036
WIPRO	EQ	565.0	571.0	562.65	568.85	566.65	561.65	1032957	5.8750265755E8	2016-07-11	21268	INE075A01022
HCLTECH	EQ	735.0	750.0	734.05	748.35	747.45	731.7	1631809	1.2154915039E9	2016-07-04	53287	INE860A01027
INFY	EQ	1176.2	1194.6	1176.2	1183.95	1185.0	1172.4	2690661	3.19179227485E9	2016-07-04	97976	INE009A01021
TCS	EQ	2516.0	2525.85	2482.0	2494.2	2485.35	2500.85	941742	2.36181258755E9	2016-07-04	50480	INE467B01029
TECHM	EQ	511.0	524.0	510.55	519.1	520.0	511.4	1250195	6.489806981E8	2016-07-04	39269	INE669C01036
WIPRO	EQ	562.0	565.0	560.0	561.7	561.5	558.9	994691	5.598164904E8	2016-07-04	18302	INE075A01022
DATAMATICS	EQ	112.6	123.65	112.6	121.3	122.0	112.45	3355373	4.0203392845E8	2016-12-29	31212	INE365B01017
HCLTECH	EQ	807.1	824.9	805.3	819.35	823.0	807.05	1780001	1.4575270489E9	2016-12-29	79405	INE860A01027
INFY	EQ	1003.75	1008.0	988.15	992.35	990.0	998.5	3120062	3.11345167195E9	2016-12-29	92963	INE009A01021
MINDTREE	EQ	515.0	530.0	512.05	523.85	523.0	510.15	1326137	6.891969475E8	2016-12-29	25540	INE018I01017
NIITTECH	EQ	425.5	432.55	421.5	424.15	424.0	424.95	382329	1.629363974E8	2016-12-29	9768	INE591G01017
TATAELXSI	EQ	1360.0	1388.0	1355.5	1380.45	1385.05	1352.3	525737	7.242469106E8	2016-12-29	18830	INE670A01012
TCS	EQ	2303.0	2359.9	2303.0	2351.7	2355.0	2313.4	981758	2.30344531855E9	2016-12-29	64945	INE467B01029
TECHM	EQ	471.05	484.45	469.5	482.7	481.6	474.15	2079991	9.969497547E8	2016-12-29	37556	INE669C01036
WIPRO	EQ	469.0	477.0	464.05	472.35	470.85	469.35	2045230	9.6696627155E8	2016-12-29	40037	INE075A01022
DATAMATICS	EQ	90.5	93.75	88.5	89.65	89.35	90.75	368788	3.35593102E7	2016-10-26	2764	INE365B01017
HCLTECH	EQ	801.7	803.85	787.6	790.85	790.7	804.55	1611775	1.27952719195E9	2016-10-26	71218	INE860A01027
INFY	EQ	1017.0	1019.85	1009.3	1014.2	1013.2	1017.2	1387608	1.4061425941E9	2016-10-26	49773	INE009A01021
MINDTREE	EQ	456.7	458.95	447.05	450.2	448.3	454.9	487349	2.210012031E8	2016-10-26	11011	INE018I01017
TATAELXSI	EQ	1312.0	1318.4	1255.4	1271.25	1259.9	1314.35	413306	5.3444806075E8	2016-10-26	20491	INE670A01012
TCS	EQ	2398.6	2402.75	2372.5	2396.25	2383.0	2398.45	718565	1.7157892289E9	2016-10-26	43564	INE467B01029
TECHM	EQ	434.0	435.0	421.95	423.05	422.0	434.05	2685974	1.14637747655E9	2016-10-26	37724	INE669C01036
WIPRO	EQ	480.75	480.75	470.55	471.55	471.35	481.4	1374261	6.508274547E8	2016-10-26	50233	INE075A01022
HCLTECH	EQ	845.0	849.0	827.0	828.95	828.05	845.95	630477	5.2675145555E8	2016-02-23	46772	INE860A01027
INFY	EQ	1130.25	1132.5	1116.05	1123.9	1123.0	1126.65	1250980	1.40689596565E9	2016-02-23	78553	INE009A01021
TATAELXSI	EQ	1919.0	1921.8	1868.2	1884.05	1881.1	1913.25	322543	6.087046791E8	2016-02-23	16630	INE670A01012
TCS	EQ	2310.25	2319.9	2256.75	2264.0	2258.1	2315.9	653426	1.4880240694E9	2016-02-23	42218	INE467B01029
TECHM	EQ	431.7	432.4	424.0	428.6	425.0	431.7	1074713	4.595907848E8	2016-02-23	25170	INE669C01036
WIPRO	EQ	542.15	543.7	535.6	539.95	540.0	542.75	944414	5.09017546E8	2016-02-23	25296	INE075A01022
HCLTECH	EQ	770.0	772.0	762.0	769.8	770.4	770.45	1292218	9.907369668E8	2016-06-23	49318	INE860A01027
INFY	EQ	1197.3	1214.85	1193.35	1211.6	1210.75	1199.5	1914313	2.3041056345E9	2016-06-23	102672	INE009A01021
MINDTREE	EQ	650.5	666.55	650.5	659.95	663.0	653.6	390951	2.585800168E8	2016-06-23	18818	INE018I01017
TCS	EQ	2655.0	2659.5	2625.3	2645.35	2644.45	2667.65	698507	1.84600254375E9	2016-06-23	54736	INE467B01029
TECHM	EQ	533.1	535.0	526.65	531.35	530.8	532.75	1027592	5.455735203E8	2016-06-23	31847	INE669C01036
WIPRO	EQ	563.0	564.85	559.35	563.7	563.0	563.15	671251	3.7783195555E8	2016-06-23	27035	INE075A01022
HCLTECH	EQ	763.0	768.7	756.45	763.45	765.05	762.1	900878	6.861755335E8	2016-11-23	30814	INE860A01027
INFY	EQ	922.1	922.9	912.45	920.25	921.0	914.2	4125893	3.79092274585E9	2016-11-23	130883	INE009A01021
MINDTREE	EQ	455.0	460.0	450.0	453.5	453.0	453.15	364788	1.6538650425E8	2016-11-23	10138	INE018I01017
TATAELXSI	EQ	1045.7	1094.6	1031.05	1088.25	1087.0	1036.55	430323	4.600110247E8	2016-11-23	16509	INE670A01012
TCS	EQ	2149.0	2162.95	2127.2	2156.35	2158.5	2135.0	637904	1.3720126971E9	2016-11-23	40612	INE467B01029
TECHM	EQ	457.0	458.95	448.05	453.1	454.1	453.4	1950811	8.853169379E8	2016-11-23	45633	INE669C01036
WIPRO	EQ	450.4	451.85	442.1	448.9	449.0	450.4	1266901	5.655117846E8	2016-11-23	39320	INE075A01022
DATAMATICS	EQ	119.5	119.5	106.65	108.3	107.5	119.95	1751956	1.9650543565E8	2016-12-26	19003	INE365B01017
HCLTECH	EQ	791.9	797.8	783.3	790.4	788.35	793.75	558575	4.423367302E8	2016-12-26	22196	INE860A01027
INFY	EQ	988.0	994.0	975.1	982.75	983.35	988.45	1606914	1.58004995965E9	2016-12-26	47565	INE009A01021
TCS	EQ	2266.0	2301.6	2266.0	2293.1	2296.85	2288.1	448704	1.0278022998E9	2016-12-26	29524	INE467B01029
TECHM	EQ	463.25	468.05	460.4	463.6	463.0	467.1	572307	2.6558531555E8	2016-12-26	22960	INE669C01036
WIPRO	EQ	458.4	460.5	453.3	456.1	455.3	458.75	621902	2.832716326E8	2016-12-26	20320	INE075A01022
HCLTECH	EQ	711.0	716.8	706.4	708.75	707.8	718.8	4210844	2.99687709345E9	2016-05-11	63619	INE860A01027
INFY	EQ	1198.5	1214.7	1192.5	1201.85	1204.0	1212.8	1854944	2.2327831308E9	2016-05-11	64272	INE009A01021
TCS	EQ	2500.0	2525.6	2490.0	2518.3	2524.8	2522.9	799358	2.0096481519E9	2016-05-11	37888	INE467B01029
TECHM	EQ	477.9	483.6	471.5	473.9	474.1	482.7	1749723	8.351538221E8	2016-05-11	26542	INE669C01036
WIPRO	EQ	534.4	539.45	533.1	537.8	538.45	538.65	723648	3.8819647235E8	2016-05-11	20483	INE075A01022
HCLTECH	EQ	727.0	740.5	726.25	737.1	735.0	728.4	3202055	2.35635493465E9	2016-05-04	97988	INE860A01027
INFY	EQ	1181.0	1193.0	1170.65	1188.85	1190.0	1177.8	2906421	3.43748434355E9	2016-05-04	106651	INE009A01021
MINDTREE	EQ	668.8	678.0	660.0	661.45	660.05	670.25	363791	2.4272278605E8	2016-05-04	17952	INE018I01017
TATAELXSI	EQ	1878.0	1883.45	1840.55	1846.85	1849.4	1884.85	395143	7.3422866805E8	2016-05-04	22297	INE670A01012
TCS	EQ	2473.9	2494.05	2457.0	2478.0	2478.0	2478.1	682446	1.687276873E9	2016-05-04	32957	INE467B01029
TECHM	EQ	464.0	471.1	459.7	466.95	464.5	467.2	1379336	6.4036951505E8	2016-05-04	34754	INE669C01036
WIPRO	EQ	542.5	543.4	537.0	540.0	541.0	543.85	1311959	7.0814915265E8	2016-05-04	29771	INE075A01022
HCLTECH	EQ	833.0	849.8	829.7	844.5	844.15	836.0	1600653	1.34932783315E9	2016-01-28	35730	INE860A01027
INFY	EQ	1136.0	1142.6	1126.2	1129.6	1129.1	1138.5	3894299	4.40676453115E9	2016-01-28	67003	INE009A01021
MINDTREE	EQ	1497.7	1518.5	1470.05	1477.4	1475.0	1487.85	342101	5.112865688E8	2016-01-28	18511	INE018I01017
TATAELXSI	EQ	1961.8	2019.4	1960.2	1990.4	1989.0	1954.2	673479	1.34156591275E9	2016-01-28	30544	INE670A01012
TCS	EQ	2315.5	2348.9	2308.05	2331.2	2345.0	2319.75	1553330	3.62579474885E9	2016-01-28	52219	INE467B01029
TECHM	EQ	505.0	509.25	495.9	500.05	502.0	503.05	2091098	1.04927844505E9	2016-01-28	33981	INE669C01036
WIPRO	EQ	553.2	553.7	544.4	547.25	549.0	552.55	1211162	6.6231771755E8	2016-01-28	27286	INE075A01022
HCLTECH	EQ	781.5	781.9	750.5	773.95	772.0	787.1	2579366	1.98339528165E9	2016-09-08	99516	INE860A01027
INFY	EQ	1045.0	1045.0	1024.0	1037.65	1038.75	1054.35	4546387	4.69854257325E9	2016-09-08	108004	INE009A01021
MINDTREE	EQ	519.2	520.7	512.0	515.3	515.3	518.9	519292	2.676276979E8	2016-09-08	15779	INE018I01017
TCS	EQ	2360.0	2360.0	2284.75	2322.1	2327.7	2440.55	3510758	8.12077368525E9	2016-09-08	171363	INE467B01029
TECHM	EQ	465.0	466.95	455.0	459.05	459.3	471.85	3145694	1.44565460855E9	2016-09-08	82807	INE669C01036
WIPRO	EQ	477.0	479.65	470.2	473.95	474.3	481.75	2229724	1.0560233893E9	2016-09-08	64873	INE075A01022
HCLTECH	EQ	782.95	784.5	775.0	779.0	779.1	776.35	953499	7.4290511135E8	2016-09-15	36650	INE860A01027
INFY	EQ	1045.6	1046.8	1035.35	1042.2	1044.9	1045.6	2350861	2.4427808738E9	2016-09-15	53602	INE009A01021
MINDTREE	EQ	512.0	516.15	511.95	514.0	513.95	513.5	459686	2.364148102E8	2016-09-15	6568	INE018I01017
TATAELXSI	EQ	1515.1	1562.95	1515.1	1542.75	1544.0	1517.4	392087	6.0633435135E8	2016-09-15	15661	INE670A01012
TCS	EQ	2339.95	2342.1	2316.75	2326.95	2325.0	2328.45	1409482	3.2798955076E9	2016-09-15	97602	INE467B01029
TECHM	EQ	469.0	471.9	460.8	462.75	463.15	466.7	956858	4.4621902495E8	2016-09-15	23402	INE669C01036
WIPRO	EQ	479.8	479.8	474.25	478.45	479.7	478.05	1814622	8.66017836E8	2016-09-15	24594	INE075A01022
HCLTECH	EQ	828.0	830.0	813.4	817.7	817.0	828.45	2509320	2.0516464258E9	2016-03-23	82805	INE860A01027
INFY	EQ	1190.0	1210.7	1182.1	1207.8	1208.8	1189.95	3166588	3.78693785555E9	2016-03-23	136505	INE009A01021
MINDTREE	EQ	660.5	661.25	649.0	651.05	649.1	658.25	554464	3.612847454E8	2016-03-23	38061	INE018I01017
TCS	EQ	2487.9	2487.9	2457.3	2473.8	2479.6	2473.1	1139217	2.8173119405E9	2016-03-23	55908	INE467B01029
TECHM	EQ	484.0	484.65	474.65	479.9	479.05	484.2	1458923	6.9941367125E8	2016-03-23	45839	INE669C01036
WIPRO	EQ	550.1	559.2	545.8	555.75	557.9	552.85	1442509	7.948666306E8	2016-03-23	40643	INE075A01022
HCLTECH	EQ	831.05	846.0	823.0	841.9	839.0	838.25	1988009	1.6682110216E9	2016-01-20	76435	INE860A01027
INFY	EQ	1134.0	1160.0	1117.0	1121.25	1120.75	1139.65	3753999	4.23399610255E9	2016-01-20	106567	INE009A01021
MINDTREE	EQ	1430.0	1467.4	1404.45	1444.95	1466.0	1443.55	301809	4.296157992E8	2016-01-20	23665	INE018I01017
NIITTECH	EQ	469.8	476.7	432.25	445.5	442.0	473.85	320345	1.4570133785E8	2016-01-20	11094	INE591G01017
TATAELXSI	EQ	1700.0	1760.0	1652.0	1701.1	1694.1	1728.5	1135661	1.93871281755E9	2016-01-20	54985	INE670A01012
TCS	EQ	2273.8	2285.0	2243.0	2280.1	2280.0	2279.3	807977	1.8327516515E9	2016-01-20	47824	INE467B01029
TECHM	EQ	507.25	512.8	503.6	507.0	511.0	512.5	2002842	1.014283557E9	2016-01-20	74406	INE669C01036
WIPRO	EQ	539.05	551.9	533.2	542.55	542.0	542.0	1169646	6.3428628645E8	2016-01-20	25079	INE075A01022
HCLTECH	EQ	738.0	744.0	727.5	730.1	728.1	742.25	1745341	1.283290874E9	2016-05-19	55685	INE860A01027
INFY	EQ	1210.95	1216.15	1201.0	1205.75	1201.15	1209.85	1977200	2.38925858565E9	2016-05-19	63251	INE009A01021
TCS	EQ	2555.0	2560.0	2526.1	2556.95	2555.0	2551.1	519396	1.32369227505E9	2016-05-19	38811	INE467B01029
TECHM	EQ	484.2	487.5	481.15	484.0	484.0	484.75	1292336	6.2573742965E8	2016-05-19	19120	INE669C01036
WIPRO	EQ	540.0	543.95	537.25	542.95	542.8	539.55	1253487	6.795607391E8	2016-05-19	24566	INE075A01022
HCLTECH	EQ	823.0	848.7	821.25	831.75	830.45	815.55	5141259	4.29640860675E9	2016-10-21	71747	INE860A01027
INFY	EQ	1035.0	1041.0	1022.5	1038.3	1037.5	1036.65	1931810	2.0015154433E9	2016-10-21	59548	INE009A01021
MINDTREE	EQ	484.1	489.0	477.0	479.0	478.6	479.05	1022279	4.935754622E8	2016-10-21	19316	INE018I01017
TCS	EQ	2400.0	2431.9	2398.25	2428.65	2430.0	2401.15	629830	1.5241922317E9	2016-10-21	39667	INE467B01029
TECHM	EQ	428.85	436.1	422.2	434.1	434.0	425.0	4853235	2.0853274332E9	2016-10-21	36044	INE669C01036
WIPRO	EQ	499.85	501.0	493.3	499.2	499.0	495.4	1990718	9.9156470675E8	2016-10-21	42224	INE075A01022
HCLTECH	EQ	822.0	829.4	811.6	819.1	818.0	821.75	1514566	1.24063122E9	2016-08-08	53431	INE860A01027
INFY	EQ	1069.0	1081.0	1062.55	1078.7	1074.4	1068.0	2321532	2.49537457965E9	2016-08-08	86035	INE009A01021
MINDTREE	EQ	614.9	621.0	611.15	617.8	615.4	613.0	336690	2.075712321E8	2016-08-08	10593	INE018I01017
TATAELXSI	EQ	1650.0	1747.0	1643.1	1738.35	1742.0	1642.25	975018	1.6648800624E9	2016-08-08	37422	INE670A01012
TCS	EQ	2640.0	2668.0	2629.05	2649.5	2655.0	2649.1	1029122	2.72906031425E9	2016-08-08	65630	INE467B01029
TECHM	EQ	496.0	504.5	496.0	503.65	503.45	495.05	913042	4.587456855E8	2016-08-08	26359	INE669C01036
WIPRO	EQ	546.25	552.85	546.25	549.0	548.35	547.2	1025346	5.6357003985E8	2016-08-08	24164	INE075A01022
HCLTECH	EQ	786.7	789.1	771.1	785.35	788.7	780.9	810851	6.353343425E8	2016-12-07	37284	INE860A01027
INFY	EQ	968.0	973.0	960.2	966.4	966.7	966.5	1692990	1.63793431885E9	2016-12-07	77351	INE009A01021
MINDTREE	EQ	462.15	471.0	455.0	457.75	456.0	459.8	936167	4.332063171E8	2016-12-07	13444	INE018I01017
