it_companies_stock.symbol	it_companies_stock.series	it_companies_stock.open	it_companies_stock.high	it_companies_stock.low	it_companies_stock.close	it_companies_stock.last	it_companies_stock.prevclose	it_companies_stock.tottrdqty	it_companies_stock.tottrval	it_companies_stock.mydate	it_companies_stock.totaltrades	it_companies_stock.isin
MINDTREE	EQ	478.95	482.0	476.4	479.05	480.0	476.95	550097	2.6338529E8	2016-10-20	11461	INE018I01017
TCS	EQ	2396.9	2409.35	2386.0	2401.15	2403.0	2395.1	632927	1.5183117995E9	2016-10-20	37213	INE467B01029
TECHM	EQ	424.25	429.2	421.2	425.0	425.0	424.9	2133653	9.0784988545E8	2016-10-20	34710	INE669C01036
WIPRO	EQ	497.9	501.15	492.2	495.4	495.0	495.0	1172322	5.8127432995E8	2016-10-20	30824	INE075A01022
HCLTECH	EQ	774.15	781.2	760.0	763.15	765.0	774.3	2711466	2.08860843955E9	2016-10-28	75308	INE860A01027
INFY	EQ	1005.2	1010.0	993.15	997.5	997.0	1003.5	2920353	2.91607894185E9	2016-10-28	76622	INE009A01021
MINDTREE	EQ	442.0	446.4	434.2	435.95	437.0	441.5	596777	2.6310683255E8	2016-10-28	21903	INE018I01017
TATAELXSI	EQ	1250.0	1304.0	1245.0	1294.85	1293.0	1239.0	883733	1.13344947225E9	2016-10-28	32658	INE670A01012
TCS	EQ	2410.0	2415.1	2388.0	2398.7	2398.0	2418.1	876051	2.1026430833E9	2016-10-28	54342	INE467B01029
TECHM	EQ	429.0	444.0	429.0	435.65	434.05	414.1	12710319	5.5656031691E9	2016-10-28	134539	INE669C01036
WIPRO	EQ	461.7	466.4	454.1	462.1	462.3	461.7	2310047	1.0640002162E9	2016-10-28	50348	INE075A01022
HCLTECH	EQ	753.0	791.0	752.5	780.45	778.0	752.95	3026539	2.34002847885E9	2016-08-01	77579	INE860A01027
INFY	EQ	1071.5	1087.85	1068.35	1085.25	1086.0	1073.85	4548331	4.9039638654E9	2016-08-01	84226	INE009A01021
MINDTREE	EQ	580.0	610.0	580.0	601.6	599.1	578.65	1457965	8.7777306685E8	2016-08-01	56113	INE018I01017
TCS	EQ	2632.0	2725.0	2632.0	2708.25	2702.6	2619.3	1980852	5.34171655335E9	2016-08-01	88196	INE467B01029
TECHM	EQ	485.2	493.0	476.1	490.15	488.55	487.95	2125956	1.0297789677E9	2016-08-01	42644	INE669C01036
WIPRO	EQ	545.05	561.75	545.0	557.7	557.95	545.05	2273195	1.26757750865E9	2016-08-01	59116	INE075A01022
DATAMATICS	EQ	108.7	113.7	106.0	109.7	109.55	108.3	2438962	2.691270101E8	2016-12-27	22782	INE365B01017
HCLTECH	EQ	788.9	809.9	787.0	804.85	804.0	790.4	505709	4.0555130875E8	2016-12-27	25032	INE860A01027
INFY	EQ	982.75	1001.9	980.0	998.95	996.9	982.75	2456408	2.4394260506E9	2016-12-27	57508	INE009A01021
MINDTREE	EQ	489.85	489.85	478.0	486.2	486.4	487.9	311180	1.5068858065E8	2016-12-27	10273	INE018I01017
NIITTECH	EQ	411.0	429.0	402.0	423.75	424.0	410.45	321157	1.3208806425E8	2016-12-27	4926	INE591G01017
TATAELXSI	EQ	1301.0	1333.0	1287.8	1330.1	1330.0	1296.85	488891	6.4335786805E8	2016-12-27	19369	INE670A01012
TCS	EQ	2281.5	2330.0	2281.5	2323.4	2322.8	2293.1	647346	1.5004109538E9	2016-12-27	42719	INE467B01029
TECHM	EQ	460.5	474.0	460.05	468.2	468.0	463.6	1061513	4.975242392E8	2016-12-27	31773	INE669C01036
WIPRO	EQ	455.0	466.0	454.1	465.2	464.3	456.1	553523	2.5526213315E8	2016-12-27	16192	INE075A01022
HCLTECH	EQ	774.0	774.0	766.3	770.45	770.05	770.1	1567059	1.2073337469E9	2016-06-22	38679	INE860A01027
INFY	EQ	1204.0	1211.95	1188.15	1199.5	1197.35	1206.1	1515629	1.81798876865E9	2016-06-22	52549	INE009A01021
TCS	EQ	2650.0	2677.7	2631.75	2667.65	2661.05	2651.2	880856	2.3432052334E9	2016-06-22	44125	INE467B01029
TECHM	EQ	540.8	542.0	530.55	532.75	532.3	535.0	1211966	6.4905463585E8	2016-06-22	29873	INE669C01036
WIPRO	EQ	562.05	564.0	559.5	563.15	563.3	561.0	1385923	7.797060486E8	2016-06-22	17942	INE075A01022
HCLTECH	EQ	765.0	767.5	755.05	762.1	762.4	758.35	1031823	7.8743030175E8	2016-11-22	41064	INE860A01027
INFY	EQ	916.9	928.65	911.65	914.2	914.85	911.1	2741563	2.517129608E9	2016-11-22	106048	INE009A01021
MINDTREE	EQ	449.0	455.5	438.05	453.15	455.0	441.8	477673	2.142398902E8	2016-11-22	11817	INE018I01017
NIITTECH	EQ	401.65	403.0	396.65	400.55	402.2	399.0	336802	1.347374664E8	2016-11-22	6083	INE591G01017
TCS	EQ	2132.0	2177.45	2122.05	2135.0	2142.0	2132.9	659430	1.4161837281E9	2016-11-22	38866	INE467B01029
TECHM	EQ	448.0	455.0	446.2	453.4	454.9	447.15	2409601	1.0857173716E9	2016-11-22	36423	INE669C01036
WIPRO	EQ	442.0	453.0	439.1	450.4	450.6	441.8	1104664	4.9275700635E8	2016-11-22	36676	INE075A01022
HCLTECH	EQ	849.8	849.8	840.1	845.95	845.5	851.55	923775	7.802947982E8	2016-02-22	38305	INE860A01027
INFY	EQ	1131.0	1133.95	1114.05	1126.65	1126.0	1127.25	1928505	2.17309298975E9	2016-02-22	71684	INE009A01021
TATAELXSI	EQ	1915.7	1940.0	1896.1	1913.25	1914.0	1895.15	382344	7.347545668E8	2016-02-22	17976	INE670A01012
TCS	EQ	2320.25	2343.0	2305.0	2315.9	2325.0	2319.65	662442	1.54353271385E9	2016-02-22	49580	INE467B01029
TECHM	EQ	440.55	441.9	426.55	431.7	431.0	440.5	1155619	4.981244442E8	2016-02-22	45892	INE669C01036
WIPRO	EQ	547.2	548.1	536.5	542.75	540.05	547.35	847687	4.5893176075E8	2016-02-22	29509	INE075A01022
HCLTECH	EQ	774.0	789.5	773.0	780.55	778.0	773.95	1467060	1.14948182465E9	2016-09-09	62193	INE860A01027
INFY	EQ	1037.0	1041.0	1026.55	1035.5	1036.0	1037.65	2526719	2.6123439899E9	2016-09-09	96783	INE009A01021
MINDTREE	EQ	515.3	529.0	515.3	522.8	522.5	515.3	453362	2.376045123E8	2016-09-09	14876	INE018I01017
NIITTECH	EQ	396.0	410.9	391.2	403.1	400.9	394.45	336828	1.351893677E8	2016-09-09	10255	INE591G01017
TCS	EQ	2329.7	2366.65	2320.05	2352.45	2352.0	2322.1	1371219	3.2193697653E9	2016-09-09	85766	INE467B01029
TECHM	EQ	458.0	465.45	451.3	458.3	457.95	459.05	1469794	6.7571713975E8	2016-09-09	37787	INE669C01036
WIPRO	EQ	477.6	483.0	474.3	480.65	480.0	473.95	1896208	9.0944880885E8	2016-09-09	42209	INE075A01022
HCLTECH	EQ	838.35	852.9	838.35	845.15	846.0	846.25	1110859	9.397190111E8	2016-04-22	34387	INE860A01027
