symbol	open	high	low	close
GEOMETRIC	252.9	255.8	252.5	253.8
GEOMETRIC	210.0	214.75	209.45	212.85
GEOMETRIC	213.25	215.7	208.9	209.7
GEOMETRIC	229.0	231.0	228.6	229.85
GEOMETRIC	242.5	244.35	236.0	237.5
GEOMETRIC	253.4	255.5	250.25	251.15
GEOMETRIC	230.8	235.85	230.8	234.65
GEOMETRIC	225.0	225.0	206.5	224.2
GEOMETRIC	218.9	220.05	218.0	219.5
GEOMETRIC	149.35	151.4	146.8	148.85
GEOMETRIC	211.45	212.15	206.7	207.1
GEOMETRIC	209.9	211.0	208.65	209.3
GEOMETRIC	161.4	165.5	160.2	162.65
GEOMETRIC	197.85	206.7	197.85	205.1
GEOMETRIC	229.0	232.5	226.7	230.35
GEOMETRIC	235.0	238.15	231.5	235.2
GEOMETRIC	222.5	222.5	218.55	219.15
GEOMETRIC	221.65	224.35	221.5	223.6
GEOMETRIC	249.95	249.95	245.95	248.2
GEOMETRIC	241.7	242.05	236.75	238.2
GEOMETRIC	154.3	154.95	148.35	150.95
GEOMETRIC	228.95	230.6	226.4	230.15
GEOMETRIC	233.0	233.5	230.6	231.55
GEOMETRIC	241.95	246.0	238.25	242.2
GEOMETRIC	205.55	207.75	204.55	206.4
GEOMETRIC	205.6	209.8	205.6	208.85
GEOMETRIC	163.45	163.95	156.2	157.75
GEOMETRIC	231.0	233.0	227.05	231.4
GEOMETRIC	231.0	233.95	229.45	231.65
GEOMETRIC	195.6	201.9	195.0	196.65
GEOMETRIC	146.3	151.7	143.25	148.9
GEOMETRIC	215.8	216.75	211.6	212.3
GEOMETRIC	242.85	249.0	241.95	243.55
GEOMETRIC	247.95	247.95	238.05	238.85
GEOMETRIC	238.15	238.45	235.05	237.15
GEOMETRIC	239.75	243.0	238.4	241.1
GEOMETRIC	144.05	150.0	143.25	149.25
GEOMETRIC	158.1	160.3	150.6	152.05
GEOMETRIC	217.9	219.95	214.05	215.8
GEOMETRIC	225.0	233.5	224.1	230.45
GEOMETRIC	229.0	232.3	226.0	230.15
GEOMETRIC	230.7	233.9	228.0	231.6
GEOMETRIC	218.95	218.95	216.8	218.2
GEOMETRIC	219.05	221.55	218.55	219.2
GEOMETRIC	235.0	236.5	231.1	233.35
GEOMETRIC	235.0	237.55	234.5	236.05
GEOMETRIC	163.0	167.95	157.25	158.75
GEOMETRIC	202.15	203.4	192.2	194.65
GEOMETRIC	161.0	168.0	158.8	160.05
GEOMETRIC	188.15	191.4	186.3	187.65
GEOMETRIC	218.85	219.9	217.45	219.55
GEOMETRIC	238.8	238.8	224.2	226.3
GEOMETRIC	243.0	243.0	233.5	235.95
GEOMETRIC	225.65	225.85	222.15	222.65
GEOMETRIC	147.65	152.0	147.65	150.8
